date,prec,snow,snow_depth,temp_max,temp_min
2018-01-01,0,0,0,19,7
2018-01-02,0,0,0,26,13
2018-01-03,0,0,0,30,16
2018-01-04,0.76,9.8,1.2,29,19
2018-01-05,0,0,7.1,19,9
2018-01-06,0,0,5.9,13,6
2018-01-07,0,0,5.9,18,5
2018-01-08,0.01,0,5.1,31,17
2018-01-09,0,0,5.1,44,30
2018-01-10,0,0,3.9,43,30
2018-01-11,0,0,3.1,53,41
2018-01-12,0.54,0,0,61,44
2018-01-13,0.05,0,0,58,19
2018-01-14,0,0,0,25,15
2018-01-15,0,0,0,30,16
2018-01-16,0,0,0,36,25
2018-01-17,0.19,0.4,0,36,22
2018-01-18,0,0,0,32,18
2018-01-19,0,0,0,41,24
2018-01-20,0,0,0,52,38
2018-01-21,0,0,0,50,42
2018-01-22,0.01,0,0,49,38
2018-01-23,0.3,0,0,60,38
2018-01-24,0,0,0,44,27
2018-01-25,0,0,0,34,23
2018-01-26,0,0,0,38,26
2018-01-27,0,0,0,56,35
2018-01-28,0.21,0,0,55,46
2018-01-29,0,0.1,0,47,35
2018-01-30,0.11,0.9,0,36,24
2018-01-31,0,0,0,33,18
2018-02-01,0.05,0,0,45,32
2018-02-02,0.18,0,0,41,17
2018-02-03,0,0,0,31,16
2018-02-04,0.96,0,0,46,30
2018-02-05,0,0,0,40,26
2018-02-06,0,0,0,37,26
2018-02-07,0.85,0.5,0,45,30
2018-02-08,0,0,0,33,25
2018-02-09,0,0,0,39,26
2018-02-10,0.58,0,0,50,39
2018-02-11,1.21,0,0,62,45
2018-02-12,0,0,0,62,32
2018-02-13,0,0,0,38,26
2018-02-14,0.08,0,0,53,35
2018-02-15,0.16,0,0,62,46
2018-02-16,0.09,0,0,58,36
2018-02-17,0.52,4.4,0,40,28
2018-02-18,0.01,0,3.1,44,33
2018-02-19,0.04,0,0,49,36
2018-02-20,0,0,0,67,47
2018-02-21,0.06,0,0,78,55
2018-02-22,0.17,0,0,59,37
2018-02-23,0.06,0,0,42,36
2018-02-24,0.08,0,0,55,42
2018-02-25,0.73,0,0,44,40
2018-02-26,0,0,0,52,43
2018-02-27,0,0,0,56,39
2018-02-28,0,0,0,61,42
2018-03-01,0.38,0,0,60,44
2018-03-02,1.86,0,0,44,34
2018-03-03,0,0,0,49,36
2018-03-04,0,0,0,44,34
2018-03-05,0,0,0,43,33
2018-03-06,0,0,0,47,32
2018-03-07,1.41,3.2,0,39,33
2018-03-08,0,0,3.1,39,33
2018-03-09,0,0,2,42,30
2018-03-10,0,0,0,40,31
2018-03-11,0,0,0,45,32
2018-03-12,0.08,0,0,43,32
2018-03-13,0.28,0,0,40,33
2018-03-14,0.01,0,0,41,31
2018-03-15,0,0,0,48,32
2018-03-16,0,0,0,40,30
2018-03-17,0,0,0,48,27
2018-03-18,0,0,0,43,28
2018-03-19,0,0,0,47,33
2018-03-20,0,0,0,39,30
2018-03-21,0.99,8.2,0,39,31
2018-03-22,0.06,0.2,7.9,50,32
2018-03-23,0,0,1.2,49,35
2018-03-24,0,0,0,51,35
2018-03-25,0,0,0,45,33
2018-03-26,0,0,0,50,34
2018-03-27,0.01,0,0,47,34
2018-03-28,0.03,0,0,52,38
2018-03-29,0.03,0,0,53,49
2018-03-30,0.03,0,0,62,44
2018-03-31,0,0,0,58,39
2018-04-01,0,0,0,60,43
2018-04-02,0.59,5.5,5.1,43,33
2018-04-03,0.26,0,0,43,39
2018-04-04,0.04,0,0,56,40
2018-04-05,0,0,0,45,34
2018-04-06,0.11,0,0,62,37
2018-04-07,0,0,0,49,37
2018-04-08,0,0,0,46,32
2018-04-09,0,0,0,49,32
2018-04-10,0.01,0,0,51,38
2018-04-11,0,0,0,51,37
2018-04-12,0,0,0,63,46
2018-04-13,0,0,0,82,60
2018-04-14,0,0,0,77,44
2018-04-15,0.47,0,0,44,38
2018-04-16,2.82,0,0,60,39
2018-04-17,0,0,0,47,39
2018-04-18,0,0,0,55,37
2018-04-19,0.15,0,0,49,38
2018-04-20,0,0,0,50,37
2018-04-21,0,0,0,63,39
2018-04-22,0,0,0,67,44
2018-04-23,0,0,0,68,46
2018-04-24,0.05,0,0,66,46
2018-04-25,0.95,0,0,60,52
2018-04-26,0.1,0,0,70,55
2018-04-27,0.05,0,0,59,51
2018-04-28,0.1,0,0,68,50
2018-04-29,0.08,0,0,59,47
2018-04-30,0,0,0,51,44
2018-05-01,0,0,0,80,48
2018-05-02,0,0,0,90,65
2018-05-03,0.02,0,0,92,70
2018-05-04,0,0,0,84,72
2018-05-05,0,0,0,76,61
2018-05-06,0,0,0,66,56
2018-05-07,0,0,0,77,54
2018-05-08,0,0,0,74,53
2018-05-09,0,0,0,77,54
2018-05-10,0.25,0,0,66,54
2018-05-11,0,0,0,73,60
2018-05-12,0.22,0,0,63,51
2018-05-13,0.1,0,0,54,52
2018-05-14,0.03,0,0,71,52
2018-05-15,0.58,0,0,88,61
2018-05-16,0.34,0,0,64,56
2018-05-17,0.22,0,0,71,56
2018-05-18,0,0,0,67,56
2018-05-19,0.65,0,0,56,49
2018-05-20,0,0,0,81,56
2018-05-21,0,0,0,79,58
2018-05-22,0.29,0,0,68,55
2018-05-23,0.29,0,0,81,59
2018-05-24,0,0,0,83,63
2018-05-25,0,0,0,86,65
2018-05-26,0,0,0,89,72
2018-05-27,0.44,0,0,80,56
2018-05-28,0,0,0,69,56
2018-05-29,0,0,0,89,63
2018-05-30,0,0,0,78,61
2018-05-31,0.1,0,0,68,63
2018-06-01,0.27,0,0,81,65
2018-06-02,0.08,0,0,87,66
2018-06-03,0.25,0,0,66,51
2018-06-04,0.16,0,0,71,51
2018-06-05,0,0,0,75,58
2018-06-06,0,0,0,71,58
2018-06-07,0,0,0,71,60
2018-06-08,0,0,0,82,60
2018-06-09,0,0,0,83,67
2018-06-10,0.01,0,0,73,58
2018-06-11,0,0,0,73,58
2018-06-12,0,0,0,75,57
2018-06-13,0.04,0,0,78,63
2018-06-14,0,0,0,84,67
2018-06-15,0,0,0,76,63
2018-06-16,0,0,0,85,64
2018-06-17,0,0,0,91,66
2018-06-18,0.08,0,0,91,73
2018-06-19,0.07,0,0,88,75
2018-06-20,0.09,0,0,83,69
2018-06-21,0.59,0,0,83,65
2018-06-22,0.1,0,0,75,62
2018-06-23,0,0,0,66,62
2018-06-24,0,0,0,84,66
2018-06-25,0,0,0,81,67
2018-06-26,0,0,0,78,61
2018-06-27,0.01,0,0,73,66
2018-06-28,1.36,0,0,83,70
2018-06-29,0,0,0,89,70
2018-06-30,0,0,0,93,72
2018-07-01,0,0,0,96,79
2018-07-02,0,0,0,95,79
2018-07-03,0.01,0,0,92,77
2018-07-04,0,0,0,86,77
2018-07-05,0,0,0,90,76
2018-07-06,0.23,0,0,80,69
2018-07-07,0,0,0,78,62
2018-07-08,0,0,0,84,62
2018-07-09,0,0,0,87,67
2018-07-10,0,0,0,93,72
2018-07-11,0,0,0,88,74
2018-07-12,0.71,0,0,84,64
2018-07-13,0,0,0,84,68
2018-07-14,0.36,0,0,88,70
2018-07-15,0.64,0,0,83,69
2018-07-16,0,0,0,90,75
2018-07-17,2.24,0,0,88,70
2018-07-18,0,0,0,85,66
2018-07-19,0,0,0,83,66
2018-07-20,0,0,0,82,69
2018-07-21,0.63,0,0,79,65
2018-07-22,1.06,0,0,79,70
2018-07-23,0.17,0,0,80,73
2018-07-24,0.02,0,0,82,75
2018-07-25,0.73,0,0,77,72
2018-07-26,0.03,0,0,85,72
2018-07-27,0.25,0,0,86,68
2018-07-28,0,0,0,85,70
2018-07-29,0,0,0,82,70
2018-07-30,0.37,0,0,78,68
2018-07-31,0,0,0,82,68
2018-08-01,0.1,0,0,84,74
2018-08-02,0.51,0,0,86,76
2018-08-03,0.24,0,0,85,73
2018-08-04,0.74,0,0,84,72
2018-08-05,0,0,0,91,73
2018-08-06,0,0,0,92,77
2018-08-07,0.05,0,0,90,74
2018-08-08,0,0,0,90,76
2018-08-09,0.61,0,0,86,73
2018-08-10,0,0,0,86,72
2018-08-11,2.9,0,0,80,70
2018-08-12,0,0,0,84,72
2018-08-13,0.66,0,0,75,71
2018-08-14,0.79,0,0,82,71
2018-08-15,0,0,0,86,70
2018-08-16,0,0,0,88,76
2018-08-17,1.04,0,0,87,72
2018-08-18,0.07,0,0,85,71
2018-08-19,0.02,0,0,72,67
2018-08-20,0,0,0,74,67
2018-08-21,0.11,0,0,79,66
2018-08-22,0.72,0,0,82,71
2018-08-23,0,0,0,77,65
2018-08-24,0,0,0,82,65
2018-08-25,0,0,0,80,68
2018-08-26,0,0,0,83,69
2018-08-27,0,0,0,88,74
2018-08-28,0,0,0,94,79
2018-08-29,0,0,0,92,81
2018-08-30,0,0,0,90,78
2018-08-31,0.03,0,0,78,69
2018-09-01,0,0,0,78,69
2018-09-02,0,0,0,81,68
2018-09-03,0,0,0,90,75
2018-09-04,0,0,0,92,77
2018-09-05,0,0,0,89,77
2018-09-06,0.36,0,0,93,73
2018-09-07,0,0,0,75,69
2018-09-08,0.02,0,0,71,61
2018-09-09,0.45,0,0,62,55
2018-09-10,0.93,0,0,64,54
2018-09-11,0.02,0,0,74,62
2018-09-12,0.15,0,0,77,71
2018-09-13,0.13,0,0,76,69
2018-09-14,0,0,0,75,68
2018-09-15,0,0,0,80,67
2018-09-16,0,0,0,84,67
2018-09-17,0.01,0,0,79,68
2018-09-18,1.19,0,0,79,70
2018-09-19,0,0,0,81,68
2018-09-20,0,0,0,72,65
2018-09-21,0,0,0,72,67
2018-09-22,0,0,0,74,62
2018-09-23,0,0,0,66,60
2018-09-24,0,0,0,69,57
2018-09-25,1.95,0,0,73,59
2018-09-26,0.21,0,0,82,69
2018-09-27,0,0,0,72,61
2018-09-28,0.77,0,0,65,56
2018-09-29,0,0,0,72,58
2018-09-30,0,0,0,70,54
2018-10-01,0,0,0,76,63
2018-10-02,0.69,0,0,77,65
2018-10-03,0,0,0,74,63
2018-10-04,0.04,0,0,76,61
2018-10-05,0,0,0,71,60
2018-10-06,0,0,0,68,63
2018-10-07,0,0,0,79,67
2018-10-08,0,0,0,74,64
2018-10-09,0,0,0,77,66
2018-10-10,0,0,0,80,71
2018-10-11,0.84,0,0,77,69
2018-10-12,0.43,0,0,68,51
2018-10-13,0.1,0,0,55,46
2018-10-14,0,0,0,58,47
2018-10-15,0.05,0,0,68,52
2018-10-16,0.01,0,0,60,47
2018-10-17,0,0,0,61,46
2018-10-18,0,0,0,50,42
2018-10-19,0,0,0,60,43
2018-10-20,0.06,0,0,62,51
2018-10-21,0,0,0,51,39
2018-10-22,0,0,0,50,39
2018-10-23,0,0,0,63,49
2018-10-24,0,0,0,54,44
2018-10-25,0,0,0,51,40
2018-10-26,0,0,0,50,38
2018-10-27,1.27,0,0,51,44
2018-10-28,0.07,0,0,52,45
2018-10-29,0.03,0,0,56,47
2018-10-30,0,0,0,55,42
2018-10-31,0,0,0,64,44
2018-11-01,0,0,0,70,57
2018-11-02,0.22,0,0,72,64
2018-11-03,0.37,0,0,65,48
2018-11-04,0,0,0,55,43
2018-11-05,0.3,0,0,53,48
2018-11-06,0.68,0,0,59,49
2018-11-07,0,0,0,62,51
2018-11-08,0,0,0,56,45
2018-11-09,0.77,0,0,52,40
2018-11-10,0.03,0,0,50,34
2018-11-11,0,0,0,46,33
2018-11-12,0.04,0,0,49,37
2018-11-13,1.06,0,0,50,43
2018-11-14,0,0,0,43,32
2018-11-15,1.16,6.4,0,40,28
2018-11-16,0.31,0,3.9,45,34
2018-11-17,0,0,2,47,37
2018-11-18,0,0,0,44,39
2018-11-19,0,0,0,50,41
2018-11-20,0,0,0,47,39
2018-11-21,0,0,0,44,27
2018-11-22,0,0,0,28,17
2018-11-23,0,0,0,32,15
2018-11-24,0.97,0,0,49,31
2018-11-25,0.81,0,0,55,45
2018-11-26,0.85,0,0,53,45
2018-11-27,0.03,0,0,45,37
2018-11-28,0,0,0,42,36
2018-11-29,0,0,0,46,38
2018-11-30,0.02,0,0,43,38
2018-12-01,0.05,0,0,46,36
2018-12-02,0.59,0,0,56,42
2018-12-03,0,0,0,55,46
2018-12-04,0,0,0,46,31
2018-12-05,0,0,0,37,28
2018-12-06,0,0,0,40,30
2018-12-07,0,0,0,39,28
2018-12-08,0,0,0,36,24
2018-12-09,0,0,0,36,28
2018-12-10,0,0,0,39,29
2018-12-11,0,0,0,41,29
2018-12-12,0,0,0,41,33
2018-12-13,0.03,0,0,40,33
2018-12-14,0.1,0,0,51,40
2018-12-15,0.14,0,0,52,46
2018-12-16,1.43,0,0,46,35
2018-12-17,0.03,0,0,46,37
2018-12-18,0,0,0,40,28
2018-12-19,0,0,0,42,26
2018-12-20,0.22,0,0,47,37
2018-12-21,1.61,0,0,61,47
2018-12-22,0.02,0,0,54,40
2018-12-23,0,0,0,43,36
2018-12-24,0.12,0,0,43,36
2018-12-25,0,0,0,40,33
2018-12-26,0,0,0,43,32
2018-12-27,0,0,0,44,37
2018-12-28,1.15,0,0,60,43
2018-12-29,0,0,0,57,39
2018-12-30,0,0,0,40,33
2018-12-31,1.02,0,0,48,36
2019-01-01,0.06,0,0,58,39
2019-01-02,0,0,0,40,35
2019-01-03,0,0,0,44,37
2019-01-04,0,0,0,47,35
2019-01-05,0.5,0,0,47,41
2019-01-06,0,0,0,49,31
2019-01-07,0,0,0,34,25
2019-01-08,0.17,0,0,45,34
2019-01-09,0.06,0,0,45,34
2019-01-10,0,0,0,34,28
2019-01-11,0,0,0,30,21
2019-01-12,0,0,0,34,20
2019-01-13,0,0,0,33,25
2019-01-14,0,0,0,32,22
2019-01-15,0,0,0,36,25
2019-01-16,0,0,0,39,30
2019-01-17,0,0,0,33,24
2019-01-18,0.05,0.5,1.2,39,29
2019-01-19,0.29,0.2,0,37,32
2019-01-20,0.88,0,0,42,14
2019-01-21,0,0,0,14,4
2019-01-22,0,0,0,31,13
2019-01-23,0,0,0,52,31
2019-01-24,1.33,0,0,59,35
2019-01-25,0,0,0,40,28
2019-01-26,0,0,0,35,24
2019-01-27,0,0,0,49,32
2019-01-28,0,0,0,38,25
2019-01-29,0.23,0,0,43,25
2019-01-30,0.01,0.4,0,35,6
2019-01-31,0,0,0,16,2
2019-02-01,0,0,0,21,11
2019-02-02,0,0,0,34,16
2019-02-03,0,0,0,53,33
2019-02-04,0,0,0,61,41
2019-02-05,0,0,0,65,44
2019-02-06,0.45,0,0,46,35
2019-02-07,0.07,0,0,44,39
2019-02-08,0.37,0,0,55,32
2019-02-09,0,0,0,32,23
2019-02-10,0,0,0,35,23
2019-02-11,0,0,0,38,30
2019-02-12,0.75,1.2,0,36,26
2019-02-13,0.08,0,1.2,41,33
2019-02-14,0,0,0,46,33
2019-02-15,0,0,0,59,42
2019-02-16,0,0,0,47,32
2019-02-17,0.04,0,0,38,26
2019-02-18,0.09,0,0,42,26
2019-02-19,0,0,0,36,23
2019-02-20,0.57,1.3,0,33,26
2019-02-21,0.1,0,1.2,52,33
2019-02-22,0,0,0,44,36
2019-02-23,0.01,0,0,42,32
2019-02-24,0.58,0,0,47,36
2019-02-25,0,0,0,43,28
2019-02-26,0,0,0,36,25
2019-02-27,0,0,0,31,23
2019-02-28,0.03,0.1,0,37,27
2019-03-01,0.11,1.4,1.2,35,26
2019-03-02,0.53,4,3.9,41,31
2019-03-03,0.52,3,1.2,42,33
2019-03-04,0.29,2,3.9,38,28
2019-03-05,0,0,2,32,20
2019-03-06,0,0,1.2,26,19
2019-03-07,0,0,1.2,32,18
2019-03-08,0,0,0,39,24
2019-03-09,0,0,0,49,34
2019-03-10,0.54,0,0,43,35
2019-03-11,0,0,0,53,39
2019-03-12,0,0,0,44,34
2019-03-13,0,0,0,49,32
2019-03-14,0,0,0,57,42
2019-03-15,0.39,0,0,75,49
2019-03-16,0,0,0,58,37
2019-03-17,0,0,0,45,34
2019-03-18,0,0,0,46,32
2019-03-19,0,0,0,51,35
2019-03-20,0,0,0,53,37
2019-03-21,0.75,0,0,46,41
2019-03-22,0.68,0,0,49,38
2019-03-23,0,0,0,48,35
2019-03-24,0,0,0,60,38
2019-03-25,0,0,0,56,42
2019-03-26,0,0,0,49,33
2019-03-27,0,0,0,47,34
2019-03-28,0,0,0,53,37
2019-03-29,0,0,0,59,49
2019-03-30,0,0,0,70,52
2019-03-31,0.06,0,0,65,39
2019-04-01,0,0,0,46,33
2019-04-02,0,0,0,52,39
2019-04-03,0,0,0,67,41
2019-04-04,0,0,0,60,44
2019-04-05,0.2,0,0,45,38
2019-04-06,0,0,0,68,39
2019-04-07,0,0,0,66,51
