,race_american_indian,race_asian,race_black,race_native_hawaiian,race_white,race_other,bike_freq
2,0,0,0,1,0,0,2
5,0,1,0,0,0,0,5
6,0,0,0,0,1,0,5
10,0,1,0,0,0,0,4
12,0,0,1,0,1,0,1
15,0,0,0,0,1,0,5
16,0,0,0,0,1,0,6
18,0,0,0,0,1,0,5
20,0,1,0,0,0,0,5
23,0,0,1,0,0,0,5
28,0,0,1,0,0,0,4
30,0,0,0,0,1,0,5
34,0,0,0,0,1,0,1
37,0,0,0,0,1,0,5
42,0,0,0,0,1,0,5
44,0,0,0,0,0,1,2
48,0,0,1,0,0,0,5
49,0,0,0,0,0,1,1
52,0,0,1,0,0,0,4
53,0,0,0,0,1,0,4
54,0,0,0,0,1,0,5
56,0,0,0,0,1,0,5
58,0,1,0,0,0,0,2
60,0,1,0,0,0,0,5
61,0,0,0,0,1,0,5
65,0,1,0,0,0,0,1
67,0,1,0,0,0,0,4
70,0,1,0,0,0,0,5
74,0,0,1,0,0,0,5
81,0,0,0,0,1,0,5
83,0,0,0,0,1,0,5
85,0,0,0,0,1,0,4
89,0,0,0,0,1,0,1
92,0,0,1,0,0,0,5
98,0,1,0,0,0,0,5
99,0,0,1,0,0,0,5
103,0,0,1,0,0,0,3
105,0,0,0,0,1,0,1
106,0,0,0,0,1,0,4
108,0,0,0,0,1,0,5
110,0,0,0,0,1,0,5
113,0,0,1,0,0,0,5
116,0,0,1,0,0,0,6
117,0,0,0,0,1,0,5
118,0,0,1,0,0,0,4
121,1,0,0,0,0,0,5
125,0,0,0,0,1,0,2
130,0,0,0,0,1,0,5
133,0,0,0,0,1,0,1
134,0,0,0,0,1,0,5
136,0,0,0,0,1,0,5
138,0,0,0,0,1,0,3
139,0,0,0,0,0,1,4
142,0,0,0,0,1,0,1
147,1,0,0,0,0,0,5
149,0,0,1,0,0,0,5
151,0,0,0,0,1,0,5
153,0,0,0,0,1,0,4
160,0,0,0,0,0,1,5
163,0,0,0,0,1,0,5
164,0,0,0,0,1,0,5
167,0,0,0,0,1,0,1
169,0,0,0,0,1,0,2
174,0,0,0,0,1,0,4
176,0,0,0,0,0,1,5
178,0,0,1,0,0,0,5
180,0,0,1,0,0,0,5
181,0,0,0,0,1,0,2
183,0,0,0,0,1,0,5
